PreguntaOff,PreguntaOn,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,0,9,9,9,13.571438299999954,,,,,,,,,,,,,,,13.544983799999954,13.571438299999954,14.545539499999904,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,11,0,0,0,0,0,10,10,10,14.571654500000022,,,,,,,,,,,,,,,14.54595590000008,14.571654500000022,15.549515000000156,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,12,0,0,0,0,0,11,11,11,15.57059640000034,,,,,,,,,,,,,,,15.55053739999994,15.57059640000034,16.558153500000117,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,13,0,0,0,0,0,12,12,12,16.57209180000018,,,,,,,,,,,,,,,16.55871849999994,16.57209180000018,17.541208000000097,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,14,0,0,0,0,0,13,13,13,17.554407600000104,,,,,,,,,,,,,,,17.541671100000258,17.554407600000104,18.540309100000286,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,15,0,0,0,0,0,14,14,14,18.55335809999997,,,,,,,,,,,,,,,18.54066009999997,18.55335809999997,19.55577620000031,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,16,0,0,0,0,0,15,15,15,19.569234900000083,,,,,,,,,,,,,,,19.55618390000018,19.569234900000083,20.55492830000003,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,17,0,0,0,0,0,16,16,16,20.568226200000026,,,,,,,,,,,,,,,20.555347800000163,20.568226200000026,21.554359000000204,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,18,0,0,0,0,0,17,17,17,21.56742720000011,,,,,,,,,,,,,,,21.554692700000032,21.56742720000011,22.553193100000044,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,19,0,0,0,0,0,18,18,18,22.56651409999995,,,,,,,,,,,,,,,22.553546000000097,22.56651409999995,23.552527600000303,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
None,20,0,0,0,0,0,19,19,19,23.565390000000207,,,,,,,,,,,,,,,23.552882200000113,23.565390000000207,24.567972300000292,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,0,0,0,0,1,0,20,0,24.595801500000107,,,,,,,,,,,,,,,24.568605500000103,24.595801500000107,25.568286900000203,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,0,0,0,0,1,1,21,1,25.594951500000207,,,,,,,,,,,,,,,25.568982499999947,25.594951500000207,26.554129999999986,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,0,0,0,0,1,2,22,2,26.580523200000243,,,,,,,,,,,,,,,26.554510200000095,26.580523200000243,27.54896140000028,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,0,0,0,0,1,3,23,3,27.562056400000074,,,,,,,,,,,,,,,27.549410999999964,27.562056400000074,28.546177100000023,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,0,0,0,0,1,4,24,4,28.5618242999999,,,,,,,,,,,,,,,28.546541600000182,28.5618242999999,29.547957400000087,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
6) ¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,6,0,0,0,0,1,5,25,5,29.57548739999993,,,,,,,,,,,,,,,29.548291900000095,29.57548739999993,30.54620920000025,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
7) ¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,7,0,0,0,0,1,6,26,6,30.55967529999998,,,,,,,,,,,,,,,30.54660240000021,30.55967529999998,31.545631299999968,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
8) ¿Recuerda alguna situación divertida o interesante que haya experimentado durante el recorrido hacia el lugar de compras?,8,0,0,0,0,1,7,27,7,31.55866700000024,,,,,,,,,,,,,,,31.546055600000273,31.55866700000024,32.544710099999975,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
9) ¿Puede recordar qué es lo primero que ve al llegar al lugar donde realiza sus compras?,9,0,0,0,0,1,8,28,8,32.55768930000022,,,,,,,,,,,,,,,32.545042600000215,32.55768930000022,33.54362530000026,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
10) ¿Recuerda el recorrido desde su residencia hasta el centro de resonancia magnética?,10,0,0,0,0,1,9,29,9,33.556796900000336,,,,,,,,,,,,,,,33.54396029999998,33.556796900000336,34.542939299999944,339686,001,2024-04-28_10h27.59.126,ArchivoPrueba,2024.1.1,None,2024-04-28 10h28.08.749340 -0500,
,,,,,,,,,,34.55612689999998,,,,,,,,,,,,,,,34.54328570000007,34.55612689999998,,,,,,,,,
