PreguntaOff,PreguntaOn,Pregunta2On,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,14,14,0,0,0,0,0,13,13,13,17.68085550000069,,,,,,,,,,,,,,,17.667823300000236,17.68085550000069,18.68353020000086,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,15,15,0,0,0,0,0,14,14,14,18.696544200000062,,,,,,,,,,,,,,,18.683862100000624,18.696544200000062,19.682548400000087,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,16,16,0,0,0,0,0,15,15,15,19.695719300000746,,,,,,,,,,,,,,,19.682898800000658,19.695719300000746,20.68210960000033,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,17,17,0,0,0,0,0,16,16,16,20.694834200000514,,,,,,,,,,,,,,,20.68241550000039,20.694834200000514,21.681037400000605,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,18,18,0,0,0,0,0,17,17,17,21.693859599999996,,,,,,,,,,,,,,,21.68140610000046,21.693859599999996,22.6798301000008,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,19,19,0,0,0,0,0,18,18,18,22.693158800000674,,,,,,,,,,,,,,,22.680191400000695,22.693158800000674,23.678952300000674,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
None,20,20,0,0,0,0,0,19,19,19,23.6924424000008,,,,,,,,,,,,,,,23.67926190000071,23.6924424000008,24.67823750000025,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
1) ¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,1,0,1,1,1,0,0,0,0,27.703595700000733,,,,,,,,,,,,24.678616800000782,24.704543900000317,27.676044800000454,27.686346600000434,27.703595700000733,28.6754389000007,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
2) ¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,2,2,0,1,1,1,0,1,1,1,28.68794380000054,,,,,,,,,,,,,,,28.675775100000465,28.68794380000054,29.673771900000247,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
3) ¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,3,3,0,1,1,1,0,2,2,2,29.687115700000504,,,,,,,,,,,,,,,29.674127000000226,29.687115700000504,30.676595900000393,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
4) ¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,4,4,0,1,1,1,0,3,3,3,30.700703800000156,,,,,,,,,,,,,,,30.677124300000287,30.700703800000156,31.6726034000003,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
"5) ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",5,5,0,1,1,1,0,4,4,4,31.685268300000644,,,,,,,,,,,,,,,31.672980400000597,31.685268300000644,32.67312780000066,977243,001,2024-04-28_10h34.57.861,ArchivoPrueba,2024.1.1,None,2024-04-28 10h35.06.970181 -0500,
,,,,,,,,,,,32.69874130000062,,,,,,,,,,,,,,,32.673527700000704,32.69874130000062,,,,,,,,,
