PreguntaOff,PreguntaOn,Colors,Prueba.thisRepN,Prueba.thisTrialN,Prueba.thisN,Prueba.thisIndex,RepeticionOn.thisRepN,RepeticionOn.thisTrialN,RepeticionOn.thisN,RepeticionOn.thisIndex,thisRow.t,notes,Intrucion.started,text_3.started,mouse.started,Intrucion.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,Off.started,text.started,Off.stopped,On.started,text_2.started,On.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,31,purple,0,1,1,1,0,15,15,15,43.621226399999614,,,,,,,,,,,,,,,43.59439049999946,43.621226399999614,44.59310659999937,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,33,green,0,1,1,1,0,16,16,16,44.620204799999556,,,,,,,,,,,,,,,44.59337819999928,44.620204799999556,45.59195539999928,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,35,red,0,1,1,1,0,17,17,17,45.61956729999929,,,,,,,,,,,,,,,45.59229460000006,45.61956729999929,46.59068859999934,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,37,white,0,1,1,1,0,18,18,18,46.604440399999476,,,,,,,,,,,,,,,46.591038199999275,46.604440399999476,47.58979799999997,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
None,39,blue,0,1,1,1,0,19,19,19,47.60301629999958,,,,,,,,,,,,,,,47.59007329999986,47.60301629999958,48.58927009999934,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Puede recordar el recorrido que realiza desde su cama hasta la cocina de su residencia?,1,green,0,2,2,2,0,0,0,0,51.61416449999979,,,,,,,,,,,,48.5897058999999,48.61549229999946,51.58688869999969,51.59727810000004,51.61416449999979,52.58551540000008,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que hace desde su casa hasta su lugar de trabajo?,3,red,0,2,2,2,0,1,1,1,52.59852769999998,,,,,,,,,,,,,,,52.58587540000008,52.59852769999998,53.58642449999934,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Hay algún inconveniente que recuerde haber experimentado en el camino de su residencia a su lugar de trabajo?,5,white,0,2,2,2,0,2,2,2,53.61223669999981,,,,,,,,,,,,,,,53.58684549999998,53.61223669999981,54.58412589999989,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿recuerda si hay algún lugar u objeto en su camino hacia el trabajo que le llame la atención?,7,blue,0,2,2,2,0,3,3,3,54.59686899999997,,,,,,,,,,,,,,,54.584452000000056,54.59686899999997,55.58276729999943,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
" ¿Puede recordar el recorrido desde la entrada de su lugar de trabajo hasta su oficina, donde realiza sus funciones?",9,yellow,0,2,2,2,0,4,4,4,55.59617939999953,,,,,,,,,,,,,,,55.58311309999954,55.59617939999953,56.582346599999255,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda alguna actividad que realice durante los viajes de regreso a casa desde el trabajo para relajarse?,11,orange,0,2,2,2,0,5,5,5,56.595037899999625,,,,,,,,,,,,,,,56.582685200000014,56.595037899999625,57.58179569999993,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
¿Recuerda el trayecto que realiza desde su casa hasta el lugar donde realiza sus compras?,13,brown,0,2,2,2,0,6,6,6,57.611201299999266,,,,,,,,,,,,,,,57.58206879999943,57.611201299999266,58.59518599999956,,798499,001,2024-04-28_10h43.39.072,ArchivoPrueba,2024.1.1,None,2024-04-28 10h43.49.543717 -0500,
,,,,,,,,,,,58.61049550000007,,,,,,,,,,,,,,,58.595480199999656,58.61049550000007,,,,,,,,,,
